epoch,train_loss,validation_normalized_noise_loss,validation_region_normalized_noise_loss,validation_syntax_normalized_noise_loss,validation_road_normalized_noise_loss,validation_rag_mean_actual_top_k,validation_rag_mean_top1_weight,generation_weighted_mae,generation_weighted_rmse
39,1.4193164961678642,3.147373676300049,1.0582163333892822,1.0073891878128052,1.081768274307251,5.0,0.20015225807825723,16187223.701090494,25475402.436197918
40,1.424175534929548,3.119067430496216,1.0455728769302368,0.99986732006073,1.073627233505249,5.0,0.20015183863816438,,
41,1.3071167979921614,3.1045498847961426,1.0391477346420288,0.9959731698036194,1.0694290399551392,5.0,0.200151597460111,,
42,1.4331472175461906,3.0897936820983887,1.0326608419418335,0.9919913411140442,1.0651414394378662,5.0,0.20015140540070003,,
43,1.155900967972619,3.05945086479187,1.0194085836410522,0.9837439060211182,1.0562983751296997,5.0,0.20015098264923803,,
44,1.3636965113026756,3.0439140796661377,1.0126874446868896,0.979487955570221,1.051738977432251,5.0,0.20015073871171032,,
45,1.1746527467455183,3.012075185775757,0.9989937543869019,0.970723032951355,1.0423583984375,5.0,0.2001502878136105,,
46,1.1553107074328832,2.995835065841675,0.9920694828033447,0.966221272945404,1.0375443696975708,5.0,0.20015006374429772,,
47,1.2647768940244402,2.979471445083618,0.9851714372634888,0.9616492390632629,1.0326508283615112,5.0,0.20014984133066954,,
48,1.1647003207887923,2.946105480194092,0.9711439609527588,0.9523090720176697,1.022652268409729,5.0,0.20014931427107918,,
49,1.1129250398703985,2.92917799949646,0.964095413684845,0.947536289691925,1.01754629611969,5.0,0.20014907916386923,15199352.98868815,24630819.11328125
