epoch,train_loss,validation_normalized_noise_loss,validation_region_normalized_noise_loss,validation_syntax_normalized_noise_loss,validation_road_normalized_noise_loss,validation_rag_mean_actual_top_k,validation_rag_mean_top1_weight,generation_weighted_mae,generation_weighted_rmse
0,35.48188781738281,3.570333480834961,1.2865732908248901,1.086984395980835,1.1967759132385254,5.0,0.20030241211255392,,
1,32.668229648045134,3.5949394702911377,1.2920117378234863,1.105360746383667,1.1975669860839844,5.0,0.20015561194331558,,
2,25.09478419167655,3.5934436321258545,1.2910438776016235,1.105194330215454,1.1972053050994873,5.0,0.20015560532057727,,
3,26.8566997391837,3.588599681854248,1.2879257202148438,1.1046308279037476,1.1960433721542358,5.0,0.20015558986752122,,
4,26.195184775761195,3.5853512287139893,1.2858493328094482,1.1042306423187256,1.195271611213684,5.0,0.20015558269288805,,
5,23.386223452431814,3.5774519443511963,1.280853271484375,1.1031969785690308,1.19340181350708,5.0,0.20015556613604227,,
6,19.285656656537736,3.572906494140625,1.2780181169509888,1.1025644540786743,1.192324161529541,5.0,0.20015555951330397,,
7,20.354651723589217,3.5680339336395264,1.2750054597854614,1.1018611192703247,1.191166877746582,5.0,0.20015556337656798,,
8,18.087135451180593,3.5574257373809814,1.2685190439224243,1.1002670526504517,1.1886396408081055,5.0,0.2001555578576194,,
9,14.36729553767613,3.5517659187316895,1.2651090621948242,1.0993777513504028,1.1872789859771729,5.0,0.20015556006519883,16203722.065104166,25515614.860839844
10,13.607970612389702,3.539767026901245,1.2579652070999146,1.0974189043045044,1.1843825578689575,5.0,0.2001555953864698,,
11,16.144975185394287,3.533449411392212,1.2542380094528198,1.096354603767395,1.1828566789627075,5.0,0.20015560587247214,,
12,14.061939375741142,3.526973247528076,1.25044846534729,1.095240831375122,1.181283950805664,5.0,0.20015560973573615,,
13,13.579266956874303,3.513640880584717,1.2427600622177124,1.0928620100021362,1.1780191659927368,5.0,0.2001556290520562,,
14,13.1961156640734,3.5067481994628906,1.2388259172439575,1.0915943384170532,1.1763278245925903,5.0,0.20015565830248375,,
15,12.110281263078962,3.4924252033233643,1.2307101488113403,1.088903546333313,1.172811508178711,5.0,0.20015571294007478,,
16,9.259060519082206,3.4850072860717773,1.2265478372573853,1.0874775648117065,1.1709818840026855,5.0,0.2001557477094509,,
17,9.49341242653983,3.477407693862915,1.2223156690597534,1.0859867334365845,1.1691051721572876,5.0,0.20015577640798357,,
18,9.19886841092791,3.46164608001709,1.2136119604110718,1.0828189849853516,1.165215015411377,5.0,0.20015580676220082,,
19,7.202094044004168,3.453474283218384,1.2091279029846191,1.0811439752578735,1.163202166557312,5.0,0.20015583822020777,17270365.927897137,26381079.7578125
20,7.126137460981097,3.436579942703247,1.1999231576919556,1.0776231288909912,1.1590335369110107,5.0,0.20015585588084328,,
21,6.260200960295541,3.427865743637085,1.1952216625213623,1.0757710933685303,1.156873106956482,5.0,0.20015587188579417,,
22,5.6578817537852695,3.4189698696136475,1.1904445886611938,1.0738617181777954,1.1546635627746582,5.0,0.2001558812680068,,
23,5.215011562619891,3.400574207305908,1.1806434392929077,1.0698391199111938,1.1500916481018066,5.0,0.20015587906042734,,
24,5.57903824533735,3.3911232948303223,1.1756712198257446,1.0677257776260376,1.14772629737854,5.0,0.2001558768528479,,
25,4.513169322695051,3.371670961380005,1.1655477285385132,1.063295602798462,1.1428277492523193,5.0,0.2001557962761985,,
26,4.138914738382612,3.3616883754730225,1.1604094505310059,1.0609904527664185,1.1402884721755981,5.0,0.2001557101806005,,
27,3.659974251474653,3.3515353202819824,1.1552271842956543,1.0586198568344116,1.1376886367797852,5.0,0.20015556172088342,,
28,3.0268200635910034,3.330725908279419,1.1447497606277466,1.0536861419677734,1.1322896480560303,5.0,0.2001551858804844,,
29,2.948020500796182,3.320005416870117,1.1394124031066895,1.0511126518249512,1.1294806003570557,5.0,0.20015499547675805,17503216.673421223,26579125.40934245
30,2.625276897634779,3.2979304790496826,1.1285533905029297,1.0457491874694824,1.12362802028656,5.0,0.20015465330194543,,
31,2.5300236514636447,3.2865633964538574,1.123018503189087,1.0429619550704956,1.1205830574035645,5.0,0.20015443530347612,,
32,2.2851567694119046,3.2749955654144287,1.117432951927185,1.0401047468185425,1.1174579858779907,5.0,0.2001542415883806,,
33,2.1355828642845154,3.2512264251708984,1.1060835123062134,1.0341774225234985,1.1109657287597656,5.0,0.20015380007249337,,
34,1.88465644632067,3.239010810852051,1.1003106832504272,1.0310970544815063,1.1076027154922485,5.0,0.20015361463582074,,
35,1.8083830560956682,3.213956117630005,1.0886112451553345,1.0247137546539307,1.1006313562393188,5.0,0.2001532354840526,,
36,1.705881723335811,3.2010812759399414,1.0826541185379028,1.0214028358459473,1.0970243215560913,5.0,0.20015304894359023,,
37,1.6418787751879012,3.188019275665283,1.0766655206680298,1.0180189609527588,1.0933347940444946,5.0,0.20015287399291992,,
38,1.5534089292798723,3.1611437797546387,1.0644123554229736,1.0110182762145996,1.085713505744934,5.0,0.200152478284306,,
